0,1.20714
1.207,1.20714
1.207,1.20714
1.207,1.20714
1.207,1.20715
1.20702,1.20715
1.20702,1.20716
1.20702,1.20717
1.20702,1.20717
1.20702,1.2072
1.20702,1.2072
1.20702,1.20725
1.20713,1.20725
1.20713,1.20726
1.20714,1.20726
1.20714,1.20727
1.20714,1.20724
1.20709,1.20724
1.20711,1.20724
1.20711,1.20723
1.20711,1.20723
1.20711,1.20719
1.20711,1.20718
1.20711,1.20713
1.20711,1.20709
1.20711,1.20711
1.20711,1.20714
1.20711,1.20712
1.20711,1.20713
1.20711,1.2071
1.20711,1.2071
1.20711,1.20708
1.20711,1.20708
1.20711,1.20702
1.20711,1.20706
1.20711,1.20707
1.20711,1.20705
1.20711,1.20703
1.20711,1.20703
1.20711,1.20702
1.20711,1.20704
1.20711,1.20696
1.20711,1.20699
1.20711,1.20699
1.20711,1.207
1.20711,1.20703
1.20711,1.20704
1.20691,1.20704
1.20691,1.20704
1.20691,1.20681
1.20691,1.20681
1.20691,1.20681
1.20691,1.2068
1.20691,1.20681
1.20691,1.2068
1.20691,1.20681
1.20691,1.20681
1.20691,1.20681
1.20691,1.20681
1.20691,1.20682
1.20691,1.20682
1.20691,1.20682
1.20691,1.20683
1.20691,1.20683
1.20691,1.20683
1.20691,1.20682
1.20691,1.20683
1.20691,1.20684
1.20691,1.20693
1.20691,1.20689
1.20674,1.20689
1.20674,1.20689
1.20674,1.20687
1.20674,1.20683
1.20674,1.20687
1.20675,1.20687
1.20675,1.20689
1.20678,1.20689
1.20677,1.20689
1.20677,1.20689
1.20677,1.20689
1.20677,1.2069
1.20677,1.2069
1.20677,1.20692
1.20679,1.20692
1.20679,1.20722
1.20679,1.20692
1.20679,1.20693
1.20681,1.20693
1.20681,1.20693
1.20681,1.20692
1.20679,1.20692
1.20679,1.20696
1.20679,1.20696
1.20679,1.20697
1.20679,1.20703
1.20679,1.20703
1.20679,1.20704
1.20679,1.20703
1.20679,1.20705
1.20679,1.20705
1.20679,1.20705
1.20679,1.20706
1.20679,1.20709
1.20679,1.20704
1.20679,1.20708
1.20679,1.20707
1.20679,1.20708
1.20679,1.20706
1.20679,1.20706
1.20679,1.20706
1.20679,1.20704
1.20679,1.20705
1.20679,1.20703
1.20679,1.20706
1.20679,1.20705
1.20679,1.20705
1.20679,1.20703
1.20679,1.20705
1.20691,1.20705
1.20692,1.20705
1.20692,1.20709
1.20692,1.20704
1.20692,1.20704
1.20692,1.20704
1.20692,1.207
1.20692,1.20701
1.20692,1.207
1.20692,1.20699
1.20692,1.207
1.20692,1.20699
1.20692,1.20701
1.20692,1.207
1.20686,1.207
1.20686,1.20699
1.20686,1.20699
1.20686,1.20701
1.20686,1.20701
1.20686,1.207
1.20686,1.20698
1.20685,1.20698
1.20685,1.207
1.20685,1.207
1.20685,1.20698
1.20685,1.20698
1.20685,1.20701
1.20685,1.207
1.20685,1.207
1.20685,1.207
1.20685,1.20698
1.20685,1.20698
1.20685,1.20697
1.20685,1.20696
1.20685,1.20696
1.20685,1.20695
1.20685,1.20695
1.20685,1.20696
1.20685,1.20696
1.20685,1.20696
1.20685,1.20696
1.20685,1.20695
1.20681,1.20695
1.20681,1.20695
1.20681,1.20695
1.20682,1.20695
1.20682,1.20697
1.20682,1.20698
1.20684,1.20698
1.20684,1.20698
1.20684,1.20698
1.20684,1.20698
1.20684,1.20698
1.20684,1.20696
1.20684,1.20697
1.20684,1.20697
1.20684,1.20695
1.20684,1.20697
1.20684,1.20698
1.20684,1.20694
1.20684,1.20696
1.20684,1.20696
1.20684,1.20695
1.20684,1.20694
1.20684,1.20693
1.20684,1.20695
1.20684,1.20697
1.20682,1.20697
1.20683,1.20697
1.20683,1.20694
1.20683,1.20695
1.20683,1.20697
1.20683,1.20698
1.20683,1.20698
1.20683,1.20695
1.20683,1.20694
1.20683,1.20696
1.20683,1.20696
1.20683,1.20695
1.20683,1.20691
1.20683,1.20693
1.20683,1.20693
1.20683,1.20693
1.20679,1.20693
1.20679,1.20694
1.20679,1.20693
1.20679,1.20694
1.20679,1.20693
1.20679,1.20691
1.20679,1.20691
1.20679,1.20693
1.20679,1.20693
1.20679,1.20692
1.20679,1.20693
1.20679,1.20693
1.20679,1.20693
1.20679,1.20692
1.20679,1.20693
1.20679,1.20693
1.20679,1.20692
1.20679,1.20689
1.20679,1.20688
1.20675,1.20688
1.20675,1.2069
1.20675,1.20688
1.20675,1.2069
1.20675,1.20688
1.20675,1.2069
1.20675,1.20688
1.20675,1.2069
1.20675,1.20687
1.20673,1.20687
1.20673,1.20688
1.20673,1.20689
1.20675,1.20689
1.20675,1.20689
1.20675,1.20689
1.20675,1.20689
1.20675,1.2069
1.20675,1.2069
1.20675,1.20691
1.20675,1.20691
1.20675,1.20691
1.20675,1.2069
1.20675,1.20691
1.20675,1.20691
1.20675,1.20689
1.20675,1.20689
1.20675,1.20689
1.20675,1.20688
1.20675,1.20686
1.20675,1.20688
1.20675,1.20686
1.20675,1.20687
1.20675,1.20687
1.20675,1.20688
1.20675,1.2069
1.20675,1.20689
1.20675,1.20688
1.20675,1.20689
1.20675,1.20688
1.20675,1.20688
1.20675,1.20688
1.20675,1.2069
1.20675,1.20689
1.20675,1.20687
1.20675,1.20685
1.20675,1.20686
1.20675,1.20683
1.20675,1.20683
1.20675,1.20686
1.20675,1.20686
1.20675,1.20686
1.20675,1.20688
1.20675,1.20688
1.20675,1.2069
1.20675,1.2069
1.20675,1.2069
1.20675,1.20687
1.20675,1.20687
1.20675,1.2069
1.20675,1.20689
1.20675,1.2069
1.20675,1.2069
1.20675,1.20689
1.20675,1.20689
1.20675,1.20689
1.20675,1.20689
1.20675,1.20689
1.20675,1.20689
1.20675,1.20688
1.20675,1.20684
1.20675,1.20682
1.20675,1.20683
1.20675,1.20684
1.20669,1.20684
1.20669,1.20684
1.20669,1.20685
1.20669,1.20685
1.2067,1.20685
1.2067,1.20685
1.20671,1.20685
1.20671,1.20688
1.20675,1.20688
1.20675,1.2069
1.20675,1.20691
1.20675,1.20691
1.20675,1.20691
1.20675,1.20691
1.20675,1.20691
1.20675,1.20691
1.20675,1.207
1.20675,1.20701
1.20675,1.20709
1.20694,1.20709
1.20694,1.20709
1.20694,1.20704
1.20694,1.20701
1.20694,1.207
1.20694,1.20699
1.20694,1.20699
1.20686,1.20699
1.20686,1.20701
1.20686,1.20704
1.20686,1.20706
1.20694,1.20706
1.20694,1.20702
1.20694,1.207
1.20694,1.207
1.20686,1.207
1.20686,1.207
1.20688,1.207
1.20688,1.20704
1.20688,1.20703
1.20688,1.20707
1.20695,1.20707
1.20695,1.20707
1.20695,1.20703
1.20695,1.20703
1.20695,1.20702
1.20689,1.20702
1.20689,1.20705
1.20689,1.20703
1.20692,1.20703
1.20692,1.20705
1.20692,1.20705
1.20692,1.20707
1.20692,1.20716
1.20706,1.20716
1.20705,1.20716
1.20705,1.20716
1.20705,1.20716
1.20705,1.2072
1.20705,1.20721
1.20705,1.20718
1.20705,1.20721
1.20705,1.20721
1.20705,1.20721
1.20705,1.20722
1.20705,1.20722
1.20705,1.20713
1.20705,1.20711
1.20705,1.2071
1.20705,1.20711
1.20705,1.20711
1.20705,1.20711
1.20705,1.20711
1.20705,1.20711
1.20705,1.20717
1.20705,1.20713
1.207,1.20713
1.20699,1.20713
1.20699,1.20713
1.20699,1.20713
1.207,1.20713
1.207,1.20715
1.207,1.20713
1.207,1.20715
1.207,1.20707
1.207,1.20709
1.207,1.2071
1.207,1.2071
1.207,1.2071
1.207,1.2071
1.207,1.20713
1.207,1.20712
1.207,1.20712
1.207,1.20712
1.207,1.20712
1.20699,1.20712
1.20699,1.20713
1.20698,1.20713
1.20698,1.20713
1.20698,1.20718
1.20698,1.2072
1.20698,1.2072
1.20698,1.20718
1.20698,1.20714
1.20698,1.20714
1.20698,1.20714
1.20698,1.20713
1.20698,1.20712
1.20698,1.20711
1.20698,1.20711
1.20698,1.20709
1.20698,1.2071
1.20698,1.20709
1.20698,1.20717
1.20698,1.20719
1.20698,1.20713
1.20698,1.20713
1.20698,1.20714
1.20698,1.20713
1.20698,1.20713
1.20698,1.20714
1.20698,1.20714
1.20698,1.20714
1.20699,1.20714
1.20699,1.20714
1.20699,1.20714
1.20699,1.20716
1.20699,1.20722
1.20707,1.20722
1.20707,1.20719
1.20707,1.20727
1.20707,1.20727
1.20707,1.20727
1.20707,1.20731
1.20707,1.20731
1.20707,1.20729
1.20707,1.2073
1.20707,1.20729
1.20707,1.20729
1.20707,1.20728
1.20707,1.20728
1.20707,1.20726
1.20707,1.20724
1.20707,1.20726
1.20707,1.20728
1.20707,1.20728
1.20707,1.20728
1.20707,1.20727
1.20707,1.20727
1.20713,1.20727
1.20713,1.20727
1.20713,1.20727
1.20713,1.20728
1.20713,1.20728
1.20713,1.20727
1.20713,1.20726
1.20713,1.20725
1.20713,1.20725
1.20713,1.20724
1.20713,1.20726
1.20713,1.20724
1.20713,1.20724
1.20713,1.20722
1.20709,1.20722
1.20709,1.20722
1.20709,1.20721
1.20709,1.20721
1.20708,1.20721
1.20707,1.20721
1.20707,1.20721
1.20707,1.20722
1.20707,1.20723
1.20707,1.20724
1.20707,1.20724
1.2071,1.20724
1.2071,1.20723
1.2071,1.20724
1.20709,1.20724
1.20709,1.20724
1.20709,1.20724
1.20709,1.20724
1.20709,1.20724
1.20709,1.20725
1.20709,1.20725
1.20709,1.20722
1.20709,1.20722
1.20709,1.20722
1.20709,1.20719
1.20709,1.20719
1.20709,1.2072
1.20709,1.2072
1.20709,1.2072
1.20709,1.2072
1.20709,1.2072
1.20709,1.2072
1.20709,1.2072
1.20709,1.2072
1.20709,1.2072
1.20709,1.20719
1.20706,1.20719
1.20706,1.20726
1.20706,1.20729
1.20706,1.20726
1.20706,1.20726
1.20706,1.20725
1.20706,1.20723
1.20707,1.20723
1.20707,1.20723
1.20707,1.20724
1.20707,1.20724
1.20707,1.20723
1.20707,1.20723
1.20707,1.20722
1.20707,1.20721
1.20707,1.20725
1.20707,1.20723
1.20707,1.20723
1.20707,1.20723
1.20707,1.20723
1.20707,1.20723
1.20707,1.20722
1.20707,1.20721
1.20707,1.20721
1.20707,1.20721
1.20707,1.20722
1.20707,1.20722
1.20707,1.20718
1.20707,1.2072
1.20707,1.20721
1.20707,1.20721
1.20707,1.20723
1.20707,1.20723
1.20707,1.20723
1.20707,1.20724
1.20707,1.20724
1.20709,1.20724
1.20709,1.20725
1.20713,1.20725
1.20713,1.20724
1.20709,1.20724
1.20709,1.20724
1.20709,1.20722
1.20709,1.20723
1.20708,1.20723
1.20708,1.20722
1.20708,1.2072
1.20708,1.20722
1.20708,1.20722
1.20709,1.20722
1.20709,1.20722
1.20709,1.20723
1.20709,1.20723
1.20709,1.20723
1.20709,1.20723
1.20709,1.20721
1.20707,1.20721
1.20707,1.20722
1.20707,1.20723
1.20707,1.20723
1.20707,1.20723
1.20707,1.20723
1.20707,1.20723
1.20707,1.20723
1.20707,1.20722
1.20707,1.20722
1.20707,1.20721
1.20707,1.20721
1.20707,1.20721
1.20707,1.20721
1.20707,1.20721
1.20707,1.20721
1.20707,1.20721
1.20707,1.20721
1.20707,1.20725
1.20707,1.20722
1.20707,1.2072
1.20707,1.2072
1.20707,1.2072
1.20705,1.2072
1.20704,1.2072
1.20704,1.20718
1.20704,1.20714
1.20704,1.20712
1.20704,1.20713
1.20704,1.20713
1.20704,1.20713
1.20704,1.20711
1.20704,1.2071
1.20704,1.2071
1.20698,1.2071
1.20698,1.2071
1.20698,1.20709
1.20698,1.2071
1.20698,1.2071
1.20698,1.2071
1.20698,1.20711
1.20698,1.20709
1.20698,1.20708
1.20698,1.20708
1.20698,1.20709
1.20698,1.20708
1.20698,1.20709
1.20698,1.20707
1.20698,1.20709
1.20693,1.20709
1.20693,1.20709
1.20693,1.20709
1.20693,1.20708
1.20693,1.20708
1.20693,1.20708
1.20693,1.20707
1.20693,1.20708
1.20693,1.20707
1.20693,1.20707
1.20693,1.20707
1.20694,1.20707
1.20694,1.20708
1.20693,1.20708
1.20693,1.20707
1.20693,1.20707
1.20693,1.20707
1.20693,1.20707
1.20693,1.20707
1.20693,1.20707
1.20693,1.20707
1.20693,1.20707
1.20694,1.20707
1.20694,1.20705
1.20694,1.20702
1.20694,1.20703
1.20694,1.20705
1.20694,1.20707
1.20694,1.2071
1.20694,1.20708
1.20694,1.20708
1.20694,1.20708
1.20694,1.20708
1.20694,1.20709
1.20694,1.20707
1.20694,1.20705
1.20694,1.20708
1.20694,1.20708
1.20694,1.20708
1.20694,1.20705
1.20694,1.20705
1.20694,1.20705
1.20694,1.20706
1.20694,1.20706
1.20694,1.20706
1.20694,1.20705
1.20694,1.20703
1.20694,1.20706
1.20694,1.20706
1.20694,1.20706
1.20692,1.20706
1.20692,1.20707
1.20692,1.20705
1.20692,1.20704
1.20692,1.20703
1.20692,1.20704
1.20692,1.20704
1.20692,1.20703
1.20692,1.20705
1.20692,1.20705
1.20692,1.20703
1.20692,1.20702
1.20692,1.20702
1.20692,1.20703
1.20692,1.20702
1.20692,1.20702
1.20692,1.20703
1.20687,1.20703
1.20687,1.20703
1.20687,1.20703
1.20687,1.20701
1.20687,1.20706
1.20687,1.20707
1.20687,1.20706
1.20687,1.20706
1.20687,1.20706
1.20687,1.20707
1.20687,1.20702
1.20687,1.20703
1.20687,1.20702
1.20687,1.20703
1.20687,1.20708
1.20687,1.20706
1.20692,1.20706
1.20692,1.20706
1.20692,1.20707
1.20692,1.20707
1.20692,1.20707
1.20692,1.20706
1.20692,1.20706
1.20693,1.20706
1.20693,1.20707
1.20693,1.20706
1.20691,1.20706
1.20691,1.20706
1.20691,1.20705
1.20691,1.20699
1.20691,1.207
1.20691,1.207
1.20691,1.20701
1.20686,1.20701
1.20686,1.20701
1.20686,1.20702
1.20686,1.20701
1.20686,1.20699
1.20685,1.20699
1.20686,1.20699
1.20686,1.207
1.20686,1.207
1.20686,1.207
1.20686,1.20698
1.20686,1.20698
1.20686,1.20697
1.20686,1.20698
1.20684,1.20698
1.20684,1.207
1.20684,1.207
1.20684,1.207
1.20684,1.20699
1.20684,1.20699
1.20684,1.207
1.20684,1.20701
1.20684,1.20701
1.20684,1.20701
1.20685,1.20701
1.20685,1.20705
1.20685,1.20701
1.20685,1.20701
1.20685,1.20701
1.20685,1.20701
1.20685,1.20701
1.20685,1.207
1.20685,1.20694
1.20682,1.20694
1.20682,1.20698
1.20682,1.20699
1.20682,1.20701
1.20682,1.20701
1.20682,1.20701
1.20682,1.20703
1.20682,1.20704
1.20682,1.20703
1.20682,1.20704
1.20682,1.20705
1.20682,1.20704
1.20689,1.20704
1.20689,1.20704
1.20689,1.20704
1.20689,1.20703
1.20689,1.20702
1.20689,1.20702
1.20689,1.20704
1.20689,1.20696
1.20689,1.20696
1.20689,1.20696
1.20689,1.20696
1.20689,1.20701
1.20689,1.20699
1.20689,1.20701
1.20687,1.20701
1.20686,1.20701
1.20687,1.20701
1.20687,1.20701
1.20687,1.20701
1.20687,1.20701
1.20687,1.20701
1.20687,1.20701
1.20687,1.20701
1.20687,1.20701
1.20687,1.20704
1.20687,1.20703
1.20689,1.20703
1.20689,1.20703
1.20689,1.20703
1.2069,1.20703
1.2069,1.20703
1.20688,1.20703
1.20688,1.20703
1.20688,1.20703
1.20688,1.20701
1.20688,1.20703
1.20688,1.20703
1.20689,1.20703
1.20689,1.20703
1.20689,1.20703
1.20688,1.20703
1.20688,1.20703
1.20688,1.20704
1.20688,1.20704
1.20688,1.20704
1.20689,1.20704
1.20689,1.20704
1.20689,1.20704
1.20689,1.20705
1.20689,1.20705
1.20689,1.20706
1.20689,1.20703
1.20691,1.20703
1.20691,1.20703
1.20691,1.20702
1.20691,1.20704
1.20692,1.20704
1.20692,1.20704
1.20694,1.20704
1.20692,1.20704
1.20694,1.20704
1.20694,1.20705
1.20694,1.20709
1.20694,1.20711
1.20694,1.20712
1.20698,1.20712
1.20698,1.20712
1.20699,1.20712
1.20699,1.20712
1.20699,1.20712
1.20698,1.20712
1.20697,1.20712
1.20698,1.20712
1.20698,1.20712
1.20698,1.20714
1.20698,1.20713
1.20698,1.20709
1.20698,1.20713
1.20698,1.20715
1.20698,1.20715
1.20698,1.20717
1.20698,1.20717
1.20698,1.20715
1.20698,1.20713
1.20698,1.20714
1.20698,1.20717
1.20698,1.20721
1.20709,1.20721
1.20708,1.20721
1.20709,1.20721
1.20708,1.20721
1.20708,1.20721
1.20708,1.20721
1.20708,1.20728
1.20708,1.2073
1.20708,1.2073
1.20708,1.20731
1.20716,1.20731
1.20716,1.20731
1.20716,1.20731
1.20716,1.20732
1.20716,1.20732
1.20718,1.20732
1.20718,1.20732
1.20718,1.20731
1.20718,1.20732
1.20718,1.20732
1.20718,1.20732
1.20718,1.20735
1.20718,1.20735
1.20718,1.20735
1.20718,1.20733
1.20718,1.20734
1.20718,1.20731
1.20718,1.20733
1.20718,1.20733
1.20718,1.20733
1.20718,1.20737
1.20718,1.20734
1.20718,1.20737
1.20718,1.20733
1.20718,1.20735
1.20718,1.20732
1.2072,1.20732
1.2072,1.20737
1.2072,1.2074
1.20725,1.2074
1.20725,1.2074
1.20725,1.20739
1.20725,1.2074
1.20725,1.2074
1.20725,1.2074
1.20725,1.20739
1.20725,1.20738
1.20724,1.20738
1.20724,1.20731
1.20715,1.20731
1.20715,1.20731
1.20715,1.20731
1.20715,1.20732
1.20715,1.20731
1.20716,1.20731
1.20716,1.20731
1.20716,1.2073
1.20715,1.2073
1.20715,1.2073
1.20714,1.2073
1.20714,1.20728
1.20714,1.2073
1.20714,1.20728
1.20714,1.20722
1.20714,1.20727
1.20714,1.20725
1.2071,1.20725
1.2071,1.20716
1.2071,1.20715
1.2071,1.20711
1.2071,1.20709
1.2071,1.20701
1.2071,1.207
1.2071,1.207
1.2071,1.207
1.2071,1.207
1.2071,1.20685
1.2071,1.20682
1.2071,1.20681
1.2071,1.20682
1.2071,1.2068
1.2071,1.20679
1.2071,1.20676
1.2071,1.20678
1.2071,1.20677
1.20664,1.20677
1.20664,1.20677
1.20664,1.20671
1.20664,1.20664
1.20664,1.20664
1.20664,1.20659
1.20644,1.20659
1.20648,1.20659
1.20648,1.20655
1.20648,1.20652
1.20648,1.20651
1.20648,1.20652
1.20648,1.20651
1.20648,1.20651
1.20648,1.20653
1.20648,1.20654
1.20648,1.20645
1.20648,1.20648
1.20648,1.20654
1.20638,1.20654
1.20639,1.20654
1.20639,1.20653
1.20647,1.20653
1.20647,1.20664
1.2065,1.20664
1.2065,1.20659
1.2065,1.20649
1.2065,1.20651
1.2065,1.20657
1.2065,1.2066
1.2065,1.2066
1.2065,1.20658
1.2065,1.20659
1.2065,1.20658
1.2065,1.2066
1.2065,1.2066
1.20644,1.2066
1.20644,1.20659
1.20644,1.20657
1.20644,1.20654
1.20644,1.20654
1.20644,1.20652
1.20644,1.20652
1.20644,1.20653
1.20644,1.20653
1.20644,1.20652
1.20644,1.20654
